original_title,release_date
Batman: Mask of the Phantasm,The Dark Knight fights to save Gotham city from its deadliest enemy.
The Captains,The Captains is a feature length documentary film written and directed by William Shatner. The film follows Shatner as he interviews the other actors whom have portrayed Starship captains within the illustrious science-fiction franchise.
One Hundred and One Dalmatians,The Canine Caper of the Century
Mega Shark vs Giant Octopus,The California coast is terrorized by two enormous prehistoric sea creatures as they battle each other for supremacy of the sea.
The Return of Jafar,The Aladdin adventure continues...
Man of the House,Texas Ranger Roland Sharp is assigned to protect the only witnesses to the murder of a key figure in the prosecution of a drug kingpin -- a group of University of Texas cheerleaders. Sharp must now go undercover as an assistant cheerleading coach and move in with the young women.
The Second Renaissance Part I,Tells the early history of how conflict began between the humans and machines. Part 1 of 2.
R.L. Stine's Monsterville: The Cabinet of Souls,Teenage friends must resist the spell of an evil showman staging a house of horrors show in their small town.
Doctor Who: The Runaway Bride,TV Movie
Party Bercy,TF1 VidÃ©o
"It's a Mad,Stanley Kramer
Planet 51,Something strange is coming to their planet...Us!
The Demented,Six college friends unite for a weekend getaway where they find themselves fighting for their lives after a terrorist attack turns the local residents into rage infused zombies.
Shrek in the Swamp Karaoke Dance Party,Shrek and his friends enjoy themselves with some Karaoke partying.
The Moguls,Sex sells in America and these guys know it. The Amateurs follows a small town band of loveable losers who hit upon an idea that can make their dreams and fantasies come true. Thinking they've found the road to riches and fame they decide to make the world's most innocent adult film. Everyman's fantasy turns into a hilarious misadventure when they find they're in way over their heads.
Chariot,Seven strangers find themselves unwitting participants in a U.S. government evacuation program gone horribly wrong.
Freakonomics,Seth Gordon
The Lodger,Set in Los Angeles with two converging plot lines â€“ The first involves an uneasy relationship between a psychologically unstable landlady and her enigmatic lodger â€“ The second is about a troubled detective engaged in a cat-and-mouse game with the elusive killer.
Un hÃ©ros trÃ¨s discret,Set in France at the end of World War II Albert Dehousse finds out his father wasn't a war hero and his mother is a collaborator.
Lovely & Amazing,Self-esteem and insecurity are at the heart of this comedy about the relationship between a mother and her three confused daughters.
Cosmic Scrat-tastrophe,Scrat struggles once again to protect his nut.
Scooby-Doo! in Where's My Mummy?,Scooby-Doo and the Mystery Inc. gang become involved in a supernatural mystery in Egypt.
Scooby-Doo and the Alien Invaders,Scooby and the gang investigate aliens sightings in small desert town.
ABE,Science Fiction
Doctor Who: The Waters of Mars,Science Fiction
R'ha,Science Fiction
Ghajini,Sanjay a rich tycoon suffering from short term memory loss due to being hit by a metal pole when trying to intervene on his girlfriend's murder. Because of this his memory can only last for 15 minutes and he doesn't remember events or incidents that have happened before in his life.
Ruthless People,Sam Stone's wife has just been kidnapped... And he doesn't want her back!
Movie 43,Rusty Cundieff
How the West Was Won,Richard Thorpe
Cropsey,Realizing the urban legend of their youth has actually come true; two filmmakers delve into the mystery surrounding five missing children and the real-life boogeyman linked to their disappearances.
We're Back! A Dinosaur's Story,Ralph Zondag
Four Rooms,Quentin Tarantino
Blackadder's Christmas Carol,Pleasant Ebenezer Blackadder is turned into a cruel and witty miser after seeing visions of his ancestors and descendants.
"Monsters,Pete Docter
Six Men Getting Sick,Pensylvania Academy of Fine Arts
Winter on Fire: Ukraine's Fight for Freedom,Passion Pictures
Open Season,One Fur All & All Fur One
Shrek 2,Once upon another time...
Boudu,No overview found.
Comme t'y es belle,No overview found.
Hell,No overview found.
Jean-Philippe,No overview found.
Les Clefs de bagnole,No overview found.
Lezioni di cioccolato,No overview found.
Michou d'Auber,No overview found.
Mon petit doigt m'a dit...,No overview found.
Quatre Ã©toiles,No overview found.
"Die,No one can stop this killing machine....It's Already Dead!!!
House Of 9,Nine strangers wake up in a house with no recollection how they got there and no way out. The voice on the PA introduces them to a grisly game they must play. The prize is $5 million and their life.
Containment,Neighbors in a block wake one morning to find they have been sealed inside their apartments. Can they work together to find out why? Or will they destroy each other in their fight to escape?
The Vatican Exorcisms,Mystery
Naqoyqatsi,Music
Powaqqatsi,Music
Roger Waters: The Wall,Music
Tropico,Music
Dennis the Menace,Mr. Wilson's ever-present annoyance comes in the form of one mischievous kid named Dennis. But he'll need Dennis's tricks to uncover a collection of gold coins that go missing when a shady drifter named Switchblade Sam comes to town.
The Bad Education Movie,Mr Wickers and his class go on one final school trip after they finish their GCSEs.
Long Weekend,Mother Nature gets revenge on some careless campers in this remastered version of the Australian horror classic.
Ong Bak 2,Moments from death a young man is rescued by a renowned warrior. Realizing unsurpassed physical potential in the young boy he trains him into the most dangerous man alive. As he becomes a young man he goes on a lone mission of vengeance against the vicious slave traders who enslaved him as a youth and the treacherous warlord who killed his father.
The Thing Called Love,Miranda Presley moves from New York to Nashville to become a song writer. At an unsuccessful audition she meets James Wright a promising newcomer. After only a few days they marry but start to quickly regret it. This is River Phoenix's last movie and you can see the end coming...
"New York,Mira Nair
"Alexander and the Terrible,Miguel Arteta
Eddie and the Cruisers,Michael ParÃ© stars as Eddie Wilson of the rock band Eddie and Cruisers. The band is at the height of their career in the 1960s when front man Eddie drives his car off a bridge in an apparent suicide -- but the body was never found.
Surviving the Game,Mason is a man down on his luck with nothing to lose when he's approached to lead a group of wealthy hunters on an expedition in the Pacific Northwest. But things get really twisted when Mason discovers the group isn't after wild animals -- they're after him.
The Lazarus Project,Markian Saray
Boccaccio '70,Mario Monicelli
The Pack,Manâ€™s best friend becomes his worst nightmare when a horde of bloodthirsty wild dogs descends upon a familyâ€™s farmhouse in a fang-bearing fight for survival.
The Animatrix,Mahiro Maeda
A Madea Christmas,Madea dispenses her unique form of holiday spirit on rural town when she's coaxed into helping a friend pay her daughter a surprise visit in the country for Christmas.
"The Cook,Lust...Murder...Dessert. Bon Appetit!
Io che amo solo te,Lukewarm wedding acquires a new meaning when the father of the groom rekindles his long-time love for the mother of the bride.
The Adventures of AndrÃ© and Wally B.,Lucasfilm
Sanitarium,Locked in insamity
Tarzan & Jane,Lisa Schaffer
The Right Kind of Wrong,Leo the dishwasher falls in love with a bride on the day of her wedding - to another man.
Viaggi di nozze,Le vicessitudini di tre coppie di novelli sposi dalla celebrazione dei matrimoni sino ai rispettivi viaggi di nozze.
Il ciclone,La vita di una tranquilla famiglia toscana di campagna viene sconvolta all'arrivo in citta di un gruppo di ballerine spagnole di flamenco
Dante's Inferno: An Animated Epic,Kim Sang-Jin
Lottery Ticket,Kevin Carson is a young man living in the projects who has to survive a three-day weekend after his opportunistic neighbors find out he's holding a winning lottery ticket worth $370 million
The Theatre Bizarre,Karim Hussain
Bombay Talkies,Karan Johar
V/H/S,Justin Martinez
V/H/S: Viral,Justin Benson
Nuremberg,Justice Robert H. Jackson leads Allied prosecutors in trying 21 Germans for Nazi war crimes after World War II.
Casino Royale,Joseph McGrath
F.I.S.T.,Johnny Kovak joins the Teamsters trade-union in a local chapter in the 1930s and works his way up in the organization. As he climbs higher and higher his methods become more ruthless and finally senator Madison starts a campaign to find the truth about the alleged connections with the Mob.
"Crazy,John Requa
The Great Mouse Detective,John Musker
Amazon Women on the Moon,John Landis
Twilight Zone: The Movie,Joe Dante
Uprising,Jews rise up in the Warsaw Ghetto against the Nazis in 1943.
Chilling Visions: 5 Senses of Fear,Jesse Holland
The ABCs of Death,Jason Eisener
Chacun son cinema ou Ce petit coup au coeur quand la lumiere s'eteint et que le film commence,Jane Campion
Pride and Prejudice,Jane Austen's classic novel about the prejudice that occurred between the 19th century classes and the pride which would keep lovers apart.
He Never Died,Jack is a solitary man with a mysterious past. His strange habits will soon become stranger when his past catches up with him.
The Terror,Jack Hill 
Dirty Wars,Investigative journalist Jeremy Scahill is pulled into an unexpected journey as he chases down the hidden truth behind America's expanding covert wars.
Tim's Vermeer,Inventor Tim Jenison seeks to understand the painting techniques used by Dutch Master Johannes Vermeer.
Pregnancy Pact,Inspired by the true story of teenagers at Gloucester (Mass.) High School who agreed to get pregnant at the same time.
Thr3e,Innocent lives hang on the whim of an elusive psychopathic murderer whose strange riddles and impossible timelines force three people into a mission to end the game before one or all of them die.
School Daze,In the South of the United States are taking place confrontations between two groups of students who have different ideas and are not able to accept the one of the oponent.
The Unspoken,In 1997 the close-knit Anderson family vanished from their home without a trace. No bodies were ever found and no explanation satisfied curiosity. For 17 years the house has remained undisturbed...until now. This eerily expert frightener is further enlivened by terrific performances from â€˜Suitsâ€™/â€™Arrowâ€™ star Neal McDonough and SILENT HILL/THE TALL MAN/TIDELANDâ€™s Jodelle Ferland.
Cadet Kelly,Hyperactive teenager Kelly is enrolled into a military school when her new stepfather becomes the Commandant. At first she has problems fitting in and taking orders until she tries out for the drill team.
MamÃ¡,Horror
Batman: Gotham Knight,Hiroshi Morioka
"Love,Here comes the ride.
My Mom's New Boyfriend,Henry Durand is a young federal agent who is given a difficult assignment: spy on his mother and her boyfriend who is suspected of leading a gang of art thieves.
Gambit,Harry Dean (Michael Caine) has a perfect plan to steal a priceless bust. The core of which is Nicole (Shirley MacLaine) a look alike for his marks late wife. Will the gambit go as planned?
V/H/S/2,Gregg Hale
The Pacific,Graham Yost
I Sell The Dead,Glenn McQuaid
Gifted Hands: The Ben Carson Story,Gifted Hands: The Ben Carson Story is a movie based on the life story of world-renowned neurosurgeon Ben Carson from 1961 to 1987.
Main dans la main,From the moment they meet - and against their will - Helene and Joachim begin a lovers' dance they are powerless to stop.
"Me,From gentle to mental.
Freddie Mercury: The Great Pretender,Freddie Mercury: The Great Pretender is a 2012 feature length documentary about Queen star Freddie Mercury and his attempt to forge a solo career outside of Queen.
Pressure,Four divers are stuck deep underwater in a vessel after a freak storm destroys their ship. Will they survive?
Why Did I Get Married Too?,Four couples reunite for their annual vacation in order to socialize and to spend time analyzing their marriages. Their intimate week in the Bahamas is disrupted by the arrival of an ex-husband determined to win back his recently remarried wife.
Wuthering Heights,Foundling Heathcliff is raised by the wealthy Earnshaws in Yorkshire but in later life launches a vendetta against the family.
Foo Fighters: Live at Wembley Stadium,Foo Fighters captured over their two sold-out nights at Wembley on June 6th and 7th 2008.
Fear Island,Five students on spring break meet at a secluded island cabin for a weekend getaway. Stranded on the island they become the prey of a mysterious killer who seems bent on revenge for something the friends have done.
A Perfect Day,Film about a group of aid workers trying to resolve a crisis in an armed conflict zone in the Balkans.
It's Such a Beautiful Day,Fantasy
Emmet Otter's Jug-Band Christmas,Family
Wizards On Deck With Hannah Montana,Family
Happily N'Ever After,Fairy Tale Endings Aren't What They Used To Be
Little Deaths,Experimentation...Revenge...All Part of Life's Twisted Games...
The Prophet,Exiled artist and poet Mustafa embarks on a journey home with his housekeeper and her daughter; together the trio must evade the authorities who fear that the truth in Mustafa's words will incite rebellion.
Cloud Atlas,Everything is Connected
Don McKay,Everything appears off-kilter when a man returns to his hometown after 25 years to visit his former lover.
ABCs of Death 2,Erik Matti
Fantasia 2000,Eric Goldberg
All Hallows' Eve 2,Elias Benavidez
The After,Eight strangers are thrown together by mysterious forces and must help each other survive in a violent world that defies explanation.
The Drawn Together Movie: The Movie!,Eight housemates on a fake animated reality TV show realize they've been canceled and set off on a journey to get back on the air.
Grindhouse,Edgar Wright
Sex Ed,Eddie lands his first teaching gig at an inner city middle school and finds his highly pubescent pupils are receiving no form of sexual education. Eddie isn't really equipped to teach them...he's not exactly experienced romantically.
Reach Me,Each member of a group of people has a connection to a self-help book authored by a reclusive former football coach.
Jackie,Dutch twin sisters travel to America to look for their long-lost mother.
The Beast of War,During the war in Afghanistan a Soviet tank crew commanded by a tyrannical officer find themselves lost and in a struggle against a band of Mujahadeen guerrillas in the mountains.
Tunnel Rats,During the Vietnam War [1959-1975] a special US combat unit is sent out to hunt and kill the Viet Cong soldiers in a man-to-man combat in the endless tunnels underneath the jungle of Vietnam. Suicide squads of a special kind.
 Catholic school,Drama
Top Secret!,Don't tell anyone.
6 Days to Air: The Making of South Park,Documentary
Alive Inside,Documentary
Animals Are Beautiful People,Documentary
Crystal Lake Memories: The Complete History of Friday the 13th,Documentary
Dawg Fight,Documentary
Is the Man Who Is Tall Happy?,Documentary
Loose Change 9/11: An American Coup,Documentary
Loose Change: Final Cut,Documentary
Maidentrip,Documentary
Objectified,Documentary
Steve Jobs: The Lost Interview,Documentary
The Battered Bastards of Baseball,Documentary
The Missing Picture,Documentary
Epoch,Disaster strikes as a specialised team of investigators struggle to find out the truth about a strange monolith which sends out an intercontinental signal.
Doctor Strange,Dick Sebast
Les Randonneurs,Deux filles et trois garÃ§ons partent en randonnÃ©e sur l'Ã®le de BeautÃ©. La difficultÃ© des chemins escarpÃ©s de la Corse va les rÃ©vÃ©ler Ã  eux-mÃªmes.
The Calling,Detective Hazel Micallef hasn't had much to worry about in the sleepy town of Port Dundas until a string of gruesome murders in the surrounding countryside brings her face to face with a serial killer driven by a higher calling.
Band of Brothers,David Nutter
Grey Gardens,David Maysles
Bambi Meets Godzilla,Comedy
Bill Burr: Let It Go,Comedy
Bo Burnham: what.,Comedy
Chelsea Handler Uganda Be Kidding Me Live,Comedy
Dane Cook: Vicious Circle,Comedy
Donald Glover: Weirdo,Comedy
Jim Jefferies: Fully Functional,Comedy
John Mulaney: The Comeback Kid,Comedy
Kevin Hart: Laugh at My Pain,Comedy
Minions: Banana,Comedy
Richard Pryor: Live in Concert,Comedy
Scrat's Continental Crack-Up: Part 2,Comedy
The Black Hole,Comedy
The Funhouse Massacre,Comedy
World of Tomorrow,Comedy
Fail Safe,Cold War tensions climb to a fever pitch when a U.S. bomber is accidentally ordered to drop a nuclear warhead on Moscow.
Winnie the Pooh and the Honey Tree,Christopher Robin's bear attempts to raid a beehive in a tall tree.
Xiaoao jiang hu,Ching Siu-Tung
The Marksman,Chechen rebels take over a Russian nuclear plant and it's up to a mysterious agent(Snipes) to stop them.
David Copperfield,Charles Dickens' haunting semi-autobiographical tale of a boy who is sent away by his stepfather after his mother dies but manages to triumph over incredible adversities.
Brave,Change your fate.
Southbound,Chad Villella
Batman Beyond: The Movie,Butch Lukic
All Dogs Go to Heaven,But not all dogs stay there!
Gone Nutty,Blue Sky Studios
Mickey's Once Upon a Christmas,Bill Speers
Ascension,Be part of mankind's last hope.
Missing,Based on the real-life experiences of Ed Horman. A conservative American businessman travels to a South American country to investigate the sudden disappearance of his son after a right-wing military takeover. Accompanied by his son's wife he uncovers a trail of cover-ups that implicate the US State department which supports the right-wing dictatorship.
A Wrinkle in Time,Based on a children's series by the same name. Meg and Charles Wallace are aided by Calvin and three interesting women in the search for their father who disappeared during a government experiment. Their travels take them around the universe to a place unlike any other.
Balto II: Wolf Quest,Balto and his daughter Aleu embark on a journey of adventure and self discovery.
Stop at Nothing: The Lance Armstrong Story,Australian Broadcasting Corporation
"Toi,Audrey Estrougo
AstÃ©rix & ObÃ©lix - Au service de Sa MajestÃ©,Asterix crosses the channel to help second-cousin Anticlimax face down Julius Caesar and invading Romans.
Call Me Crazy: A Five Film,Ashley Judd
The Second Best Exotic Marigold Hotel,As the Best Exotic Marigold Hotel has only a single remaining vacancy - posing a rooming predicament for two fresh arrivals - Sonny pursues his expansionist dream of opening a second hotel.
Parental Guidance,Artie and Diane agree to look after their three grandkids when their type-A helicopter parents need to leave town for work. Problems arise when the kids' 21st-century behavior collides with Artie and Diane's old-school methods.
Art & Copy,Art &amp; Copy reveals the stories behind and the personal odysseys of some of the most influential advertising visionaries of our time and their campaigns.
Hoodwinked!,Armed And Dangerously Dumb.
Like Mike 2: Streetball,Another young boy with 'hoop dreams' finds an old pair of Michael Jordan's sneakers and can suddenly play ball like the greatest player in the world.
9,Animation
George & A.J.,Animation
Minions: The Competition,Animation
Monkey Kingdom,Animation
No Time for Nuts,Animation
Peter & the Wolf,Animation
Tales of the Black Freighter,Animation
Walking with Dinosaurs,Animation
Tales of Halloween,Andrew Kasch
Khakee,Anant Shrivastav is assigned to escort a dangerous terrorist to Mumbai. But someone doesn't want him to make it.
Flawless,An ultraconservative police officer suffers a debilitating stroke and is assigned to a rehabilitative program that includes singing lessons - with the drag queen next door.
Bird People,An overstressed American businessman and a French chambermaid make a connection at an airport hotel in Paris.
Dough,An old Jewish baker struggles to keep his business afloat until his young Muslim apprentice accidentally drops cannabis in the dough and sends sales sky high.
The Giant Mechanical Man,An offbeat romantic comedy about a silver-painted street performer and the soft spoken zoo worker who falls for him.
Good Advice,An investment banker loses everything and must discover what's important in life.
The Boy,An intimate portrait of a 9 year old sociopath as he discovers his taste for killing.
Nighthawks,An international terrorist has New York in a grip of panic and it's up to Det. Sgt. Deke DaSilva to take him down.
Unexpected,An inner-city high school teacher discovers she is pregnant at the same time as one of her most promising students and the two develop an unlikely friendship while struggling to navigate their unexpected pregnancies.
Columbus Circle,An heiress who's been shut inside her apartment building for nearly two decades is forced to confront her fears after one of her neighbors is killed and a detective arrives to begin the investigation.
Bitter Lake,An experimental documentary that explores Saudi Arabia's relationship with the U.S. and the role this has played in the war in Afghanistan.
KatyÅ„,An examination of the Soviet slaughter of thousands of Polish officers and citizens in the Katyn forest in 1940.
Mirrors,An ex-cop and his family are the target of an evil force that is using mirrors as a gateway into their home.
The Other End of the Line,An employee at an Indian call-center travels to San Francisco to be with a guy she falls for over the phone
Smosh: The Movie,An embarrassing video of Anthony surfaces online right before his fifth high school reunion. The Smosh dudes then race to pull down the clip before it blows Anthony's chances of reconnecting with his teen crush Anna.
Still Mine,An elderly couple fight against local authorities in rural New Brunswick to build their final home.
Kid Cannabis,An eighteen year old high school drop out and his twenty-seven year old friend start trafficking marijuana across the border of Canada in order to make money and their lives are changed forever.
Little Boy,An eight-year-old boy is willing to do whatever it takes to end World War II so he can bring his father home. The story reveals the indescribable love a father has for his little boy and the love a son has for his father.
Lady Chatterley's Lover,An early-20th-century tale of love across class boundaries which tells the legendary and romantic story of Lady Chatterleyâ€™s affair with her gamekeeper. Jed Mercurioâ€™s adaptation of DH Lawrenceâ€™s classic.
Elephant White,An assassin is hired by a businessman to avenge the murder of his daughter by white slave traders in Thailand.
Words and Pictures,An art instructor and an English teacher form a rivalry that ends up with a competition at their school in which students decide whether words or pictures are more important.
Extraordinary Tales,An animated anthology of 5 stories adapted from Edgar Allan Poe.
The Hive,An amnesiac must reach back into his mind for memories that will help him save the love of his life before a virus completely takes over.
L'arbitro,An ambitious soccer referee ends up handling a crucial match between two small Sardinian teams
The Last Templar,An adaptation of Raymond Khoury's novel about a New York archaeologist researching the lost secrets of the medieval Knights Templar.
ShÅgun,An English navigator becomes both pawn and player in the deadly political games in feudal Japan.
Burning Man,An English chef with a chic restaurant on Bondi Beach trying to put his life and his relationship with his son back on track while surrounded by women.
L'Attentat,An Arab surgeon living in Tel Aviv discovers a dark secret about his wife in the aftermath of a suicide bombing.
Kickboxer,An Ancient Sport Becomes A Deadly Game.
